Temperature (K)	H(Oe)	M(emu/g)
29.93908882	99.92811584	0.037351133
29.99963093	99.92811584	0.037280867
30.00468731	99.92811584	0.037274767
30.00474739	99.92811584	0.037272267
35.00592232	99.92811584	0.028771567
40.00510025	99.92811584	0.023429033
45.00750542	99.92811584	0.019741267
50.0079937	99.92811584	0.0170391
55.00973129	99.92811584	0.014985
60.01320267	99.92811584	0.013374633
65.01672745	99.92811584	0.012061133
70.01978683	99.92811584	0.010991267
75.02482986	99.92811584	0.0100894
80.027771	99.92811584	0.0093242
85.03319168	99.92811584	0.008674033
90.03641129	99.92811584	0.0080942
95.0408287	99.92811584	0.007592667
100.0440712	99.92811584	0.0071521
105.0439148	99.92811584	0.006756633
110.0377693	99.92811584	0.006404167
115.0475502	99.92811584	0.0060983
120.0425606	99.92811584	0.005813567
125.0449715	99.92811584	0.005549733
130.0429459	99.92811584	0.005315233
135.0429306	99.92811584	0.005101133
140.0426102	99.92811584	0.004889467
145.0412827	99.92811584	0.0046953
150.0403976	99.92811584	0.004528333
155.0417404	99.92811584	0.0043735
160.0422287	99.92811584	0.0042262
165.044487	99.92811584	0.0040879
170.0393143	99.92811584	0.003946967
175.0378647	99.92811584	0.0038308
180.0376587	99.92811584	0.003720333
185.0407181	99.92811584	0.003622967
190.0391922	99.92811584	0.003512833
195.0364151	99.92811584	0.003413833
200.0403595	99.92811584	0.003342067
205.0324707	99.92811584	0.003253333
210.0333328	99.92811584	0.003183333
215.0367279	99.92811584	0.0031
220.0360107	99.92811584	0.003033333
225.0384827	99.92811584	0.002966667
230.0344009	99.92811584	0.00289
235.0332794	99.92811584	0.00285
240.032135	99.92811584	0.002753333
245.0322266	99.92811584	0.002696667
250.0361176	99.92811584	0.002643333
255.0380478	99.92811584	0.002563333
260.0271301	99.92811584	0.00251
265.030014	99.92811584	0.002473333
270.0319519	99.92811584	0.002423333
275.0293121	99.92811584	0.00237
280.0268555	99.92811584	0.00231
285.0273895	99.92811584	0.002253333
290.0234985	99.92811584	0.002213333
295.0334473	99.92811584	0.002176667
300.0249023	99.92811584	0.00213